Name	Year	Rating	Description	Visual Appeal	Reliability	Performance	Comfort	Service Experience	Maintenance cost	Extra Features	Likes	Dislikes	Used it for	Owned for	Mileage	Ridden for
Tarun Kumar	1 day ago by	5	Best ever review of bullet	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Daily Commute	> 1 yr	28 kmpl	< 5000 kms
Mohammed Mujeeb	2 weeks ago by	5	Pleasure to suggest you are classic	5	5	5			5		"
                            3"	"
                            5"	Daily Commute	> 1 yr	30 kmpl	> 15000 kms
Shubham Sadhuka	3 weeks ago by	4	A timeless legend!	5	5	5	4	4	5	4	"
                            6"	"
                            9"	Everything	6 months-1 yr	42 kmpl	5000-10000 kms
Naman Mahajan	1 month ago by	5	Nice review	5	5	5			5		"
                            5"	"
                            9"	Everything	> 1 yr	33 kmpl	> 15000 kms
Vishal Upadhyay	1 month ago by	5	Dream bike	5	5	5			5		"
                            3"	"
                            1"	Daily Commute	> 1 yr	38 kmpl	> 15000 kms
Rinku	1 month ago by	4	Indian hunk	5			4	4		4	"
                            5"	"
                            1"	Daily Commute	> 1 yr	35 kmpl	10000-15000 kms
Manammal Swalih	2 months ago by	5	Improve the features	5	5	5			5		"
                            4"	"
                            0"	Everything	> 1 yr	40 kmpl	> 15000 kms
Rohit Kumar	2 months ago by	5	All the people happy on every time								"
                            14"	"
                            2"	Everything	Never owned		
Gaurav Sohni	2 months ago by	4	"Classic looks, reliable and comfortable ride"	5	5		4	4		4	"
                            1"	"
                            1"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Gv	3 months ago by	5	Nice look	5	5	5			5		"
                            2"	"
                            3"	Everything	> 1 yr	46 kmpl	> 15000 kms
Saroj Kumar Nayak	4 months ago by	1	10	5	5	5			5		"
                            9"	"
                            40"	Daily Commute	> 1 yr	55 kmpl	> 15000 kms
Vikas B A	4 months ago by	5	A bike meant for a person who has thing to prove	5	5		4			4	"
                            13"	"
                            1"	Everything	Never owned		
Hariprabhakaran	5 months ago by	5	King rider	5	5	5			5		"
                            6"	"
                            5"	Everything	Never owned		30 kmpl
Jas Uppal	5 months ago by	2	Cool bike but company doesn't focus on quality	5	5		4	4		4	"
                            14"	"
                            3"	Everything	> 1 yr	35 kmpl	< 5000 kms
Magesh	5 months ago by	5	My bullet my soul	5	5	5			5		"
                            1"	"
                            0"	Tours	> 1 yr	36 kmpl	10000-15000 kms
Rocky	5 months ago by	5	Royal enfield is excellent bike	5	5	5	4		5	4	"
                            0"	"
                            3"	Leisure Rides	> 1 yr	40 kmpl	5000-10000 kms
